               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.087954,            0.029469,                   0,            0.085037,             0.19231,            0.063815,            0.017342,            0.081867,            0.024118,                   0,           0.0099644,           0.0099644,           0.0099644
                  38,            0.093138,            0.031187,                   0,             0.16792,             0.11538,             0.10164,            0.021234,            0.081048,            0.023744,                   0,           0.0099634,           0.0099634,           0.0099634
                  39,            0.085465,             0.02778,                   0,             0.16792,             0.11538,             0.10164,            0.021234,            0.081048,            0.023744,                   0,           0.0099624,           0.0099624,           0.0099624
                  40,            0.089753,             0.02544,                   0,            0.080148,            0.076923,            0.038421,            0.010779,            0.083398,            0.022786,                   0,           0.0099614,           0.0099614,           0.0099614
                  41,            0.089825,              0.0247,                   0,            0.080148,            0.076923,            0.038421,            0.010779,            0.083398,            0.022786,                   0,           0.0099604,           0.0099604,           0.0099604
                  42,            0.086284,            0.022601,                   0,            0.080148,            0.076923,            0.038421,            0.010779,            0.083398,            0.022786,                   0,           0.0099594,           0.0099594,           0.0099594
                  43,            0.091129,             0.02942,                   0,             0.12499,             0.23077,            0.079268,            0.024677,             0.08369,            0.022388,                   0,           0.0099584,           0.0099584,           0.0099584
                  44,            0.089389,            0.026823,                   0,             0.12499,             0.23077,            0.079268,            0.024677,             0.08369,            0.022388,                   0,           0.0099574,           0.0099574,           0.0099574
                  45,            0.087809,            0.030573,                   0,             0.19923,             0.30769,            0.099144,            0.037659,            0.078199,             0.02351,                   0,           0.0099564,           0.0099564,           0.0099564
                  46,            0.084639,             0.03073,                   0,             0.19923,             0.30769,            0.099144,            0.037659,            0.078199,             0.02351,                   0,           0.0099555,           0.0099555,           0.0099555
                  47,             0.07815,            0.026537,                   0,             0.46771,             0.42308,             0.27396,              0.0783,            0.078305,            0.022841,                   0,           0.0099545,           0.0099545,           0.0099545
                  48,             0.08125,            0.027419,                   0,             0.46771,             0.42308,             0.27396,              0.0783,            0.078305,            0.022841,                   0,           0.0099535,           0.0099535,           0.0099535
                  49,            0.083311,            0.034687,                   0,             0.46771,             0.42308,             0.27396,              0.0783,            0.078305,            0.022841,                   0,           0.0099525,           0.0099525,           0.0099525
                  50,            0.076303,            0.028411,                   0,             0.33638,                 0.5,             0.20989,            0.065371,            0.079735,            0.022464,                   0,           0.0099515,           0.0099515,           0.0099515
                  51,            0.079373,             0.02777,                   0,             0.33638,                 0.5,             0.20989,            0.065371,            0.079735,            0.022464,                   0,           0.0099505,           0.0099505,           0.0099505
                  52,            0.074192,            0.030477,                   0,             0.33892,             0.42308,             0.20361,            0.053336,            0.075453,            0.023403,                   0,           0.0099495,           0.0099495,           0.0099495
                  53,            0.075342,             0.02945,                   0,             0.33892,             0.42308,             0.20361,            0.053336,            0.075453,            0.023403,                   0,           0.0099485,           0.0099485,           0.0099485
                  54,             0.07469,            0.029991,                   0,             0.56306,             0.42308,             0.38564,             0.17006,            0.074151,            0.022867,                   0,           0.0099475,           0.0099475,           0.0099475
                  55,            0.071524,            0.026638,                   0,             0.56306,             0.42308,             0.38564,             0.17006,            0.074151,            0.022867,                   0,           0.0099465,           0.0099465,           0.0099465
                  56,            0.077728,             0.02921,                   0,             0.45898,             0.46154,              0.2585,             0.07641,            0.076501,            0.023627,                   0,           0.0099456,           0.0099456,           0.0099456
                  57,            0.084762,            0.024083,                   0,             0.45898,             0.46154,              0.2585,             0.07641,            0.076501,            0.023627,                   0,           0.0099446,           0.0099446,           0.0099446
                  58,            0.085402,            0.023899,                   0,             0.45898,             0.46154,              0.2585,             0.07641,            0.076501,            0.023627,                   0,           0.0099436,           0.0099436,           0.0099436
                  59,            0.085005,            0.026355,                   0,             0.37273,             0.41166,             0.24683,            0.076137,             0.07754,            0.023019,                   0,           0.0099426,           0.0099426,           0.0099426
                  60,            0.083291,            0.025062,                   0,             0.37273,             0.41166,             0.24683,            0.076137,             0.07754,            0.023019,                   0,           0.0099416,           0.0099416,           0.0099416
                  61,            0.082979,            0.027269,                   0,             0.36618,             0.38462,             0.25624,              0.1156,            0.074558,            0.022384,                   0,           0.0099406,           0.0099406,           0.0099406
                  62,            0.076188,            0.025077,                   0,             0.36618,             0.38462,             0.25624,              0.1156,            0.074558,            0.022384,                   0,           0.0099396,           0.0099396,           0.0099396
                  63,            0.081173,            0.025129,                   0,             0.13392,             0.30769,            0.074167,            0.020577,            0.080916,            0.020856,                   0,           0.0099386,           0.0099386,           0.0099386
                  64,            0.091137,            0.028595,                   0,             0.13392,             0.30769,            0.074167,            0.020577,            0.080916,            0.020856,                   0,           0.0099376,           0.0099376,           0.0099376
                  65,            0.087455,            0.026579,                   0,             0.13392,             0.30769,            0.074167,            0.020577,            0.080916,            0.020856,                   0,           0.0099366,           0.0099366,           0.0099366
                  66,            0.093061,            0.024403,                   0,             0.11414,             0.22801,             0.05782,            0.016557,            0.084625,            0.020334,                   0,           0.0099357,           0.0099357,           0.0099357
                  67,            0.091168,            0.026561,                   0,             0.11414,             0.22801,             0.05782,            0.016557,            0.084625,            0.020334,                   0,           0.0099347,           0.0099347,           0.0099347
                  68,            0.085791,            0.025959,                   0,             0.12327,             0.30769,            0.089604,            0.027247,            0.077969,            0.021207,                   0,           0.0099337,           0.0099337,           0.0099337
                  69,            0.081517,            0.022845,                   0,             0.12327,             0.30769,            0.089604,            0.027247,            0.077969,            0.021207,                   0,           0.0099327,           0.0099327,           0.0099327
                  70,            0.077378,            0.024499,                   0,             0.17433,             0.46154,             0.11171,            0.043535,            0.073449,            0.022253,                   0,           0.0099317,           0.0099317,           0.0099317
                  71,            0.066116,            0.034565,                   0,             0.17433,             0.46154,             0.11171,            0.043535,            0.073449,            0.022253,                   0,           0.0099307,           0.0099307,           0.0099307
                  72,              0.0632,            0.029496,                   0,             0.24043,             0.23077,             0.11829,            0.033908,            0.072514,            0.022782,                   0,           0.0099297,           0.0099297,           0.0099297
                  73,            0.077171,            0.032289,                   0,             0.24043,             0.23077,             0.11829,            0.033908,            0.072514,            0.022782,                   0,           0.0099287,           0.0099287,           0.0099287
                  74,            0.074184,            0.029117,                   0,             0.24043,             0.23077,             0.11829,            0.033908,            0.072514,            0.022782,                   0,           0.0099277,           0.0099277,           0.0099277
                  75,            0.076528,            0.028841,                   0,             0.18162,             0.19231,             0.09625,            0.036236,            0.073843,            0.022309,                   0,           0.0099267,           0.0099267,           0.0099267
                  76,            0.074303,            0.024744,                   0,             0.18162,             0.19231,             0.09625,            0.036236,            0.073843,            0.022309,                   0,           0.0099258,           0.0099258,           0.0099258
                  77,            0.073861,            0.026006,                   0,            0.083102,             0.23077,            0.073829,            0.025399,            0.074052,            0.022214,                   0,           0.0099248,           0.0099248,           0.0099248
                  78,            0.071733,            0.034197,                   0,            0.083102,             0.23077,            0.073829,            0.025399,            0.074052,            0.022214,                   0,           0.0099238,           0.0099238,           0.0099238
                  79,            0.071612,            0.026595,                   0,             0.11227,             0.26923,            0.081982,            0.028586,            0.077689,            0.021535,                   0,           0.0099228,           0.0099228,           0.0099228
                  80,            0.074733,            0.025147,                   0,             0.11227,             0.26923,            0.081982,            0.028586,            0.077689,            0.021535,                   0,           0.0099218,           0.0099218,           0.0099218
                  81,            0.077482,             0.02909,                   0,             0.11227,             0.26923,            0.081982,            0.028586,            0.077689,            0.021535,                   0,           0.0099208,           0.0099208,           0.0099208
                  82,             0.07758,            0.028384,                   0,            0.090155,             0.30769,            0.075047,            0.023823,            0.080598,            0.020996,                   0,           0.0099198,           0.0099198,           0.0099198
                  83,             0.07731,            0.027218,                   0,            0.090155,             0.30769,            0.075047,            0.023823,            0.080598,            0.020996,                   0,           0.0099188,           0.0099188,           0.0099188
                  84,            0.070918,            0.025941,                   0,              0.1478,                 0.5,             0.10553,            0.037672,            0.077828,            0.021082,                   0,           0.0099178,           0.0099178,           0.0099178
                  85,            0.070182,            0.032658,                   0,              0.1478,                 0.5,             0.10553,            0.037672,            0.077828,            0.021082,                   0,           0.0099168,           0.0099168,           0.0099168
                  86,            0.064293,            0.036294,                   0,             0.17132,                 0.5,             0.12744,            0.044514,            0.072866,            0.021691,                   0,           0.0099159,           0.0099159,           0.0099159
                  87,            0.057054,            0.028223,                   0,             0.17132,                 0.5,             0.12744,            0.044514,            0.072866,            0.021691,                   0,           0.0099149,           0.0099149,           0.0099149
