               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09605,            0.042835,                   0,             0.48973,             0.44303,             0.34872,             0.10219,            0.067126,            0.026261,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.072648,             0.03087,                   0,             0.69291,             0.34599,             0.45863,             0.19738,            0.066339,            0.017446,                   0,            0.040283,           0.0065623,           0.0065623
                   2,            0.067322,            0.026807,                   0,             0.65416,             0.53671,             0.61711,             0.22064,            0.059365,            0.015653,                   0,            0.010152,            0.009764,            0.009764
                   3,            0.059525,            0.025501,                   0,             0.78598,             0.61181,             0.71163,             0.35604,            0.051201,            0.015305,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052195,            0.023061,                   0,             0.80859,              0.6616,             0.73509,             0.42361,             0.04161,            0.015005,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.048445,            0.022452,                   0,             0.79809,             0.68048,             0.74689,             0.45257,            0.041909,             0.01523,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04491,            0.022065,                   0,             0.86471,             0.71139,             0.78688,             0.53429,            0.035409,            0.013259,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043619,            0.021502,                   0,             0.85052,             0.73945,             0.81958,             0.53467,            0.036712,            0.013075,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041032,            0.020382,                   0,             0.87914,             0.73663,             0.82357,             0.56825,            0.032862,             0.01253,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040253,            0.020096,                   0,             0.91451,             0.74027,             0.83281,             0.56472,            0.037554,            0.013007,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039326,            0.019444,                   0,             0.87924,              0.7619,             0.82914,             0.61101,            0.028679,            0.012062,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038087,            0.019251,                   0,             0.86914,              0.7519,             0.82909,             0.58124,            0.033701,             0.01259,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036864,            0.018151,                   0,             0.87932,             0.72574,             0.81879,             0.61345,            0.029724,            0.012731,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036843,            0.019313,                   0,              0.8504,             0.75865,             0.84095,             0.62657,            0.027623,            0.011701,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.036518,            0.018113,                   0,             0.90139,             0.71139,             0.81077,             0.57612,            0.034245,            0.013538,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034974,            0.017876,                   0,             0.91322,             0.74599,             0.84663,             0.61201,             0.02827,            0.011803,                   0,            0.008614,            0.008614,            0.008614
                  16,              0.0348,            0.018045,                   0,             0.92875,             0.71501,             0.81419,             0.58597,            0.031286,            0.012447,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033514,            0.017861,                   0,             0.87791,             0.75245,             0.83625,             0.63302,            0.027348,            0.012134,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.034003,            0.017737,                   0,             0.89861,             0.75696,             0.84661,             0.63734,            0.027256,             0.01201,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033245,             0.01741,                   0,             0.87711,              0.7443,             0.83767,             0.64653,            0.025878,            0.011684,                   0,            0.008218,            0.008218,            0.008218
