               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.02527,            0.014959,                   0,              0.8534,             0.64947,             0.74078,             0.51423,            0.032795,            0.020695,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.023762,             0.01478,                   0,             0.87285,             0.62898,             0.70683,             0.47334,            0.034203,            0.022797,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.024341,            0.014389,                   0,             0.87542,             0.63429,             0.74686,             0.50906,            0.032774,            0.020783,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.023123,            0.013793,                   0,             0.88197,             0.62064,             0.72691,             0.50233,            0.033423,            0.021642,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.022789,            0.014014,                   0,             0.89185,              0.6069,             0.71311,             0.50539,            0.032899,            0.021109,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.022788,            0.014125,                   0,             0.88636,             0.63581,             0.72034,             0.50293,            0.033498,            0.021675,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.023099,            0.014131,                   0,             0.88411,             0.62974,             0.74366,             0.50996,             0.03292,            0.019968,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.022699,            0.014013,                   0,             0.89413,             0.63436,             0.73606,             0.51571,            0.032575,             0.02016,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.023541,            0.014098,                   0,             0.87055,             0.61077,             0.71957,             0.50035,            0.033162,            0.022172,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.022724,            0.013762,                   0,             0.91121,             0.61002,             0.72952,             0.50505,            0.032191,            0.021946,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.022961,            0.013804,                   0,             0.91581,             0.59105,             0.71479,             0.49642,             0.03361,            0.021796,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.023217,            0.013919,                   0,             0.85247,             0.64568,             0.72306,             0.50374,            0.032831,            0.021845,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.022603,            0.013916,                   0,              0.9054,             0.61381,             0.71443,             0.50789,            0.032681,            0.022448,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.022924,            0.013803,                   0,             0.91161,             0.60395,             0.70932,             0.50927,            0.032666,            0.022101,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.022125,            0.014042,                   0,              0.8973,              0.6214,             0.70251,             0.49846,            0.032616,            0.022595,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.022816,            0.013776,                   0,             0.88077,             0.62775,             0.72818,             0.51175,            0.032515,            0.021859,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.021385,            0.013201,                   0,              0.8838,             0.59439,             0.69616,             0.49764,            0.032926,            0.022203,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.022606,            0.013941,                   0,             0.88316,             0.63278,             0.72708,             0.50999,            0.032811,            0.021677,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.021557,            0.012956,                   0,             0.90195,             0.61416,             0.72928,              0.5115,            0.032447,            0.021779,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.021821,             0.01382,                   0,             0.87665,             0.63089,             0.73782,             0.51127,            0.032325,             0.02221,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.022588,            0.013344,                   0,             0.90524,             0.59788,             0.71321,              0.5019,            0.032603,            0.022299,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.021894,            0.013314,                   0,             0.88232,             0.63142,             0.73164,              0.5182,            0.032171,            0.021491,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.022286,            0.013742,                   0,             0.86152,             0.62779,              0.7021,             0.49775,            0.032883,            0.023697,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.021515,            0.013563,                   0,             0.93597,             0.59029,             0.72518,             0.50765,            0.032184,             0.02184,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.021524,            0.013172,                   0,              0.9427,             0.58042,             0.70405,              0.5024,            0.032149,            0.022795,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.021282,            0.013323,                   0,             0.90069,             0.61932,             0.73111,             0.51925,            0.031774,            0.020854,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.021449,            0.012941,                   0,              0.9038,              0.6214,             0.74328,             0.51696,            0.032481,            0.020752,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.022152,            0.013716,                   0,             0.90017,             0.60891,               0.717,             0.50873,              0.0327,            0.021878,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.021097,            0.013178,                   0,             0.89028,             0.62179,             0.71738,             0.50471,            0.032098,            0.022385,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.022054,            0.012796,                   0,             0.87694,             0.62064,             0.72243,             0.51246,            0.032592,            0.022075,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.021322,            0.013432,                   0,             0.86006,             0.63202,             0.72848,             0.51377,            0.032203,            0.021703,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.021919,            0.013586,                   0,             0.90966,             0.61912,             0.74086,             0.51522,            0.032515,            0.021034,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.020666,            0.012912,                   0,             0.89052,             0.62331,             0.73511,             0.51769,            0.032708,            0.021724,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,             0.02048,            0.012525,                   0,             0.87081,             0.64439,             0.73618,              0.5246,            0.032149,            0.020613,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.020127,            0.012739,                   0,             0.85889,             0.64492,             0.75207,               0.524,            0.031892,            0.020778,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.020436,            0.012983,                   0,             0.91646,             0.61591,             0.72652,             0.51616,            0.032226,             0.02169,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.021119,            0.013214,                   0,              0.8731,             0.64731,             0.73137,             0.50912,            0.032571,            0.021986,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.020146,            0.012763,                   0,             0.86928,             0.62291,             0.73801,             0.51981,            0.032124,            0.021386,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.021395,            0.012949,                   0,             0.86546,             0.64264,             0.74048,              0.5162,            0.031872,            0.022054,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,              0.0206,            0.012729,                   0,               0.869,             0.64426,             0.75414,             0.53334,            0.031766,            0.020634,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.020521,            0.012453,                   0,             0.86878,             0.64568,             0.74465,             0.52694,             0.03201,            0.020854,                   0,           0.0092377,           0.0092377,           0.0092377
