               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091754,            0.036802,                   0,             0.21823,             0.37027,             0.17361,            0.051703,            0.079938,              0.0277,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.068162,            0.026892,                   0,             0.39118,             0.45021,             0.33583,              0.1108,            0.070666,            0.018994,                   0,            0.040283,           0.0065623,           0.0065623
                   2,            0.063332,            0.023132,                   0,             0.44046,             0.49299,             0.41595,             0.16074,            0.062696,            0.017027,                   0,            0.010152,            0.009764,            0.009764
                   3,            0.055195,            0.021488,                   0,             0.72116,             0.65656,             0.69517,             0.28607,            0.047747,             0.01675,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048743,            0.019373,                   0,             0.75318,             0.66339,             0.74832,             0.34547,            0.043632,            0.015538,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044119,            0.018747,                   0,             0.82349,             0.70898,             0.79162,             0.40293,            0.046985,             0.01523,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041694,            0.017942,                   0,             0.83584,             0.73553,             0.81894,             0.40551,            0.040062,            0.014466,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039456,            0.017018,                   0,             0.84232,             0.74174,             0.83149,             0.44162,             0.03754,            0.014054,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.037917,            0.016804,                   0,             0.81589,             0.75245,             0.83527,             0.48006,            0.036993,            0.014027,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036251,            0.016488,                   0,             0.84147,             0.76017,             0.83851,             0.50139,            0.038773,            0.013879,                   0,            0.009208,            0.009208,            0.009208
                  10,              0.0351,            0.016185,                   0,             0.83522,             0.79264,              0.8538,             0.51821,            0.034387,             0.01334,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034357,            0.015805,                   0,              0.8264,             0.77349,             0.83883,             0.52164,            0.036017,            0.014164,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033782,            0.015002,                   0,             0.87278,             0.76227,             0.85526,             0.52102,            0.033901,            0.013659,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033204,            0.015322,                   0,             0.87292,             0.75035,             0.84742,             0.52203,            0.035068,            0.013983,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032209,            0.014638,                   0,              0.8698,             0.76928,             0.84892,             0.53387,            0.033262,            0.013739,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031272,            0.014903,                   0,             0.88985,             0.77349,             0.85863,             0.55908,            0.032284,            0.013485,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031172,            0.014798,                   0,             0.86363,              0.7798,             0.85827,             0.55456,            0.032022,            0.013515,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030474,            0.014207,                   0,             0.88331,             0.74614,              0.8463,             0.55359,            0.032031,             0.01392,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029953,            0.014093,                   0,             0.88205,             0.77091,             0.85983,             0.54336,            0.031602,            0.013537,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029473,            0.014021,                   0,             0.90629,             0.75386,             0.85526,             0.54409,            0.032729,            0.013047,                   0,            0.008218,            0.008218,            0.008218
