               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097148,            0.038034,                   0,             0.34151,             0.29439,             0.25878,             0.09476,            0.080923,            0.035196,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.071016,            0.030252,                   0,             0.55332,             0.33612,             0.36432,             0.11225,            0.073706,            0.026461,                   0,            0.040685,           0.0065182,           0.0065182
                   2,             0.06723,            0.025824,                   0,             0.43562,             0.29818,             0.33264,             0.14008,            0.071379,            0.023775,                   0,            0.010554,           0.0097203,           0.0097203
                   3,            0.058994,            0.023406,                   0,             0.52558,             0.44613,             0.47329,             0.24177,            0.059878,             0.02534,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050823,            0.021416,                   0,             0.56928,             0.52347,             0.53854,             0.25292,            0.055098,            0.024552,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046322,             0.02045,                   0,              0.7952,             0.50377,              0.6018,             0.33115,            0.048206,            0.025738,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043078,            0.019216,                   0,             0.82501,             0.55918,             0.64884,             0.36878,            0.043737,            0.025347,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041406,            0.019561,                   0,             0.79481,             0.60247,             0.68638,             0.40765,            0.041073,            0.023407,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039464,            0.018225,                   0,             0.86487,             0.57511,             0.69407,             0.39666,             0.04144,            0.022922,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038272,            0.018257,                   0,             0.87681,             0.58346,             0.68978,             0.42715,            0.038365,            0.023176,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.037068,            0.017346,                   0,             0.88542,             0.55083,             0.65112,             0.42293,            0.039829,            0.024809,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03657,            0.017391,                   0,             0.85949,             0.59408,             0.68322,             0.43508,            0.037962,            0.023585,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.035531,            0.016994,                   0,             0.87294,             0.61305,             0.70921,             0.43209,            0.038645,            0.022197,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034608,            0.016554,                   0,             0.85085,             0.60622,              0.6996,             0.45541,            0.038003,            0.022311,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033646,            0.016689,                   0,             0.88673,             0.58801,             0.68803,             0.43071,            0.038505,            0.023253,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.033674,            0.016124,                   0,             0.83449,             0.60091,             0.69316,                0.45,            0.039037,            0.022682,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032732,            0.016363,                   0,              0.8678,             0.60091,             0.70421,             0.46053,            0.036881,            0.022269,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031498,            0.015612,                   0,             0.84063,             0.64034,             0.71555,             0.46976,            0.037062,            0.022145,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031046,            0.015346,                   0,             0.89981,             0.56556,             0.67243,              0.4513,             0.03847,            0.023358,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.030464,            0.015371,                   0,             0.88599,             0.59484,             0.70065,             0.47768,            0.036663,            0.022273,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030934,            0.015529,                   0,             0.87072,             0.58953,             0.71247,             0.48143,            0.035957,            0.022061,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030164,            0.015142,                   0,             0.90406,             0.54628,             0.64484,             0.44098,            0.037178,            0.025153,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029984,            0.015478,                   0,             0.90159,             0.59788,             0.70728,             0.48128,            0.035897,            0.022797,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029779,            0.015553,                   0,             0.90324,             0.55615,             0.67246,              0.4527,            0.036497,            0.024832,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029263,            0.014543,                   0,              0.8453,             0.60698,             0.69729,              0.4804,            0.035874,            0.023188,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.028569,            0.014756,                   0,             0.87849,             0.59793,             0.69597,              0.4804,            0.035758,            0.023243,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02878,            0.014845,                   0,             0.88282,             0.59029,             0.68805,             0.47893,            0.035651,            0.023475,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.027787,              0.0142,                   0,             0.93441,             0.55159,             0.67286,             0.46747,            0.035483,            0.024757,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.027454,            0.014602,                   0,             0.90313,             0.57587,              0.7115,             0.49063,            0.034939,            0.023745,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.027691,            0.014295,                   0,             0.86394,             0.61077,             0.71468,              0.5042,            0.034686,             0.02162,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026586,            0.014264,                   0,             0.87922,             0.60752,             0.70478,              0.4903,            0.034224,            0.022008,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026979,             0.01377,                   0,             0.87539,             0.62291,             0.72045,             0.50245,            0.034608,            0.021729,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025864,            0.013939,                   0,             0.83428,             0.63407,              0.7135,             0.49079,            0.034493,            0.022783,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.026003,            0.014398,                   0,             0.90612,             0.60546,             0.72247,             0.50537,            0.034819,            0.021792,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.025994,              0.0138,                   0,              0.9105,             0.56904,             0.70504,              0.5005,            0.033777,            0.022765,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.025633,            0.013557,                   0,             0.85368,             0.62367,              0.7291,             0.50784,            0.034499,            0.021927,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.02519,            0.013419,                   0,             0.87948,             0.63733,             0.73545,             0.51365,            0.034127,             0.02166,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.025063,            0.013376,                   0,             0.90142,             0.59636,             0.71523,             0.50934,            0.033508,            0.022476,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.02397,            0.013101,                   0,             0.87962,             0.58953,             0.70549,             0.50409,            0.033347,             0.02313,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024154,            0.013121,                   0,             0.90555,             0.60319,             0.71539,             0.50834,            0.034336,            0.021893,                   0,            0.006238,            0.006238,            0.006238
